date,par
2014-12-09T19:46:20+0000,1850.57
2014-12-09T19:49:20+0000,1848.53
2014-12-09T19:52:21+0000,1859.23
2014-12-09T19:55:21+0000,1875.27
2014-12-09T19:58:21+0000,1880.36
2014-12-09T20:01:21+0000,1889.53
2014-12-09T20:04:21+0000,1900.73
2014-12-09T20:07:22+0000,1890.81
2014-12-09T20:10:22+0000,1914.23
2014-12-09T20:13:22+0000,1920.85
2014-12-09T20:16:22+0000,1920.34
2014-12-09T20:19:22+0000,1922.12
2014-12-09T20:22:23+0000,1926.7
2014-12-09T20:25:23+0000,1937.65
2014-12-09T20:28:23+0000,1932.05
2014-12-09T20:31:23+0000,1943.77
2014-12-09T20:34:23+0000,1944.02
2014-12-09T20:37:24+0000,1954.72
2014-12-09T20:40:24+0000,1957.01
2014-12-09T20:43:24+0000,1956.75
2014-12-09T20:46:24+0000,1970.5
2014-12-09T20:49:24+0000,1964.89
2014-12-09T20:52:25+0000,1961.58
2014-12-09T20:55:25+0000,1974.83
2014-12-09T20:58:25+0000,1960.83
2014-12-09T21:01:25+0000,1932.81
2014-12-09T21:04:26+0000,1950.12
2014-12-09T21:07:26+0000,1937.14
2014-12-09T21:10:26+0000,1943.24
2014-12-09T21:13:26+0000,1951.91
2014-12-09T21:16:26+0000,1951.14
2014-12-09T21:19:27+0000,1952.67
2014-12-09T21:22:27+0000,1956.23
2014-12-09T21:25:27+0000,1956.98
2014-12-09T21:28:27+0000,1972.78
2014-12-09T21:31:27+0000,1970.23
2014-12-09T21:34:28+0000,1969.21
2014-12-09T21:37:28+0000,558.12
2014-12-09T21:40:28+0000,1975.08
2014-12-09T21:43:28+0000,1985
2014-12-09T21:46:28+0000,1995.7
2014-12-09T21:49:29+0000,1989.08
2014-12-09T21:52:29+0000,1991.11
2014-12-09T21:55:29+0000,1956.99
2014-12-09T21:58:29+0000,1978.14
2014-12-09T22:01:30+0000,1984.76
2014-12-09T22:04:30+0000,1986.54
2014-12-09T22:07:30+0000,1994.7
2014-12-09T22:10:30+0000,1991.14
2014-12-09T22:13:30+0000,1986.04
2014-12-09T22:16:31+0000,1982.99
2014-12-09T22:19:31+0000,1986.3
2014-12-09T22:22:31+0000,1980.19
2014-12-09T22:25:31+0000,1987.83
2014-12-09T22:28:31+0000,1981.46
2014-12-09T22:31:32+0000,1981.72
2014-12-09T22:34:32+0000,1981.98
2014-12-09T22:37:32+0000,1990.13
2014-12-09T22:40:32+0000,1992.67
2014-12-09T22:43:32+0000,1982.48
2014-12-09T22:46:33+0000,1993.69
2014-12-09T22:49:33+0000,1996.74
2014-12-09T22:52:33+0000,1980.94
2014-12-09T22:55:33+0000,1990.12
2014-12-09T22:58:33+0000,1997.76
2014-12-09T23:01:34+0000,1980.19
2014-12-09T23:04:34+0000,1982.22
2014-12-09T23:07:34+0000,1982.73
2014-12-09T23:10:34+0000,1987.83
2014-12-09T23:13:35+0000,1967.71
2014-12-09T23:16:35+0000,1969.75
2014-12-09T23:19:35+0000,2039.78
2014-12-09T23:22:35+0000,1978.4
2014-12-09T23:25:35+0000,1963.38
2014-12-09T23:28:36+0000,1969.24
2014-12-09T23:31:36+0000,1974.85
2014-12-09T23:34:36+0000,1975.1
2014-12-09T23:37:36+0000,1957.79
2014-12-09T23:40:36+0000,1971.8
2014-12-09T23:43:37+0000,1946.83
2014-12-09T23:47:24+0000,1956.26
2014-12-09T23:50:24+0000,1956
2014-12-09T23:53:25+0000,1950.9
2014-12-09T23:56:25+0000,1963.38
2014-12-09T23:59:25+0000,1949.63
2014-12-10T00:00:01+0000,1936.13
2014-12-10T00:03:02+0000,1937.15
2014-12-10T00:06:02+0000,1919.32
2014-12-10T00:09:02+0000,1914.23
2014-12-10T00:12:02+0000,1928.5
2014-12-10T00:15:03+0000,1923.66
2014-12-10T00:18:03+0000,1897.17
2014-12-10T00:21:03+0000,1909.91
2014-12-10T00:24:03+0000,1908.12
2014-12-10T00:27:03+0000,1897.93
2014-12-10T00:30:04+0000,1899.22
2014-12-10T00:33:04+0000,1886.99
