FILE	computerUTC	DMY	HMS	LAT	LON	CONDUCTIVITY	SALINITY	OCEAN TEMP	BULK RED	STREAM PRESSURE	FILTER PRESSURE	MACHINE TEMP	Xaccel	Yaccel	Zaccel	MILLISECOND TIMER	LASER POWER	EVENT RATE	FLOW METER	position	CHL	LIGHT TRANS	ACQ ERROR	D1/D2	PAR
sds_2013_241_232	13241133045	290813	133044	2959.99412	14959.99176				44.6572	12.00	NaN	2.97	0.0248	0.0371	0.0275	453850837	319.0	11285	2.88				5.62	0.4193	
sds_2013_241_233	13241133409	290813	133408	2959.99458	14959.98994				44.5332	12.00	NaN	2.97	0.0223	0.0346	0.0285	454054840	319.0	11304	2.88				3.84	0.4187	
sds_2013_241_234	13241133730	290813	133730	2959.99443	14959.98613				45.7028	12.00	NaN	2.97	0.0241	0.0240	0.0345	454256797	319.0	11316	2.88				5.64	0.4237	
sds_2013_241_235	13241134058	290813	134058	2959.99457	14959.98300				44.1482	12.00	NaN	2.97	0.0244	0.0510	0.0322	454464802	319.0	11362	2.88				1.77	0.4395	
sds_2013_241_236	13241134430	290813	134430	2959.99598	14959.97795				44.3638	12.00	NaN	2.97	0.0222	0.0377	0.0295	454676385	319.0	11267	2.88				4.63	0.4012	
sds_2013_241_237	13241134806	290813	134806	2959.99640	14959.97079				45.4088	12.00	NaN	2.97	0.0264	0.0212	0.0348	454892601	319.0	11185	2.88				2.78	0.4291	
sds_2013_241_238	13241135130	290813	135130	2959.99718	14959.96463				44.6505	12.00	NaN	2.97	0.0282	0.0492	0.0384	455096253	319.0	11218	2.88				3.82	0.4330	
sds_2013_241_239	13241135503	290813	135503	2959.99798	14959.96152				44.4329	12.00	NaN	2.97	0.0252	0.0290	0.0286	455309268	319.0	11250	2.88				4.42	0.4163	
sds_2013_241_240	13241135841	290813	135841	2959.99849	14959.96012				44.5476	12.00	NaN	2.97	0.0241	0.0275	0.0299	455527043	319.0	11221	2.88				4.20	0.4150	
sds_2013_241_241	13241140205	290813	140205	2959.99764	14959.95891				44.5522	12.00	NaN	2.97	0.0262	0.0408	0.0348	455731117	319.0	11264	2.88				5.05	0.4172	
sds_2013_241_242	13241140536	290813	140536	2959.99809	14959.95540				43.2743	12.00	NaN	2.97	0.0256	0.0456	0.0361	455942454	319.0	11271	2.88				4.26	0.4126	
sds_2013_241_243	13241140902	290813	140902	2959.99857	14959.95139				47.1084	12.00	NaN	2.97	0.0210	0.0350	0.0374	456148342	319.0	11260	2.88				4.43	0.4225	
sds_2013_241_244	13241141240	290813	141240	2959.99878	14959.95152				43.9639	12.00	NaN	2.97	0.0293	0.0701	0.0418	456365975	319.0	11176	2.88				5.73	0.4307	
sds_2013_241_245	13241141618	290813	141618	2959.99725	14959.95404				43.7489	12.00	NaN	2.97	0.0262	0.0314	0.0295	456584320	319.0	11310	2.88				4.48	0.4202	
sds_2013_241_246	13241141952	290813	141952	2959.99664	14959.95845				44.7635	12.00	NaN	2.97	0.0267	0.0286	0.0301	456798270	319.0	11165	2.88				4.00	0.4465	
sds_2013_241_247	13241142322	290813	142322	2959.99453	14959.96162				43.5179	12.00	NaN	2.97	0.0227	0.0445	0.0432	457008387	319.0	11204	2.88				1.79	0.4219	
sds_2013_241_248	13241142759	290813	142759	2959.99290	14959.96429				43.8054	12.00	NaN	2.97	0.0243	0.0427	0.0346	457211981	319.0	11217	2.88				5.76	0.4222	
sds_2013_241_249	13241143126	290813	143126	2959.99213	14959.96842				43.4053	12.00	NaN	2.97	0.0249	0.0236	0.0316	457419425	319.0	11288	2.88				4.41	0.4298	
sds_2013_241_250	13241143505	290813	143505	2959.99011	14959.97164				47.9017	12.00	NaN	2.97	0.0270	0.0398	0.0306	457638066	319.0	11190	2.88				5.53	0.4333	
sds_2013_241_251	13241143826	290813	143826	2959.98799	14959.97630				44.8437	12.00	NaN	2.97	0.0201	0.0528	0.0327	457839308	319.0	11269	2.88				3.09	0.4199	
